graph_idx,threshold,mean_dyn,mean_stat,delta_mean,median_dyn,median_stat,delta_median,std_dyn,std_stat,delta_std,ks_stat,ks_pvalue,ad_stat,ad_significance_level,wasserstein
1,T99,6.998652861573277,6.1036795038621445,0.8949733577111321,6.812896224597697,5.933045471608339,0.8798507529893582,0.9095823622929171,0.902564284106856,0.00701807818606115,0.55,3.864988982255897e-28,85.6581691199444,0.001,0.8971451442523477
2,T10,2.3130581616407913,2.2972919367406406,0.01576622490015067,2.063640261590769,2.1677526822909856,-0.10411242070021665,0.759538773307534,0.6568461894525678,0.10269258385496627,0.13,0.06801920461119272,1.3451895173369735,0.09061858093927143,0.1292420377674819
2,T20,2.678015467567194,2.6639784081328743,0.014037059434319765,2.446749188848715,2.53815336765054,-0.09140417880182516,0.7662611230532856,0.6600118061663114,0.10624931688697425,0.125,0.0878382826713132,1.3056883706923794,0.09412087054377946,0.12772288196057346
2,T30,2.927794736138801,2.9078516139260624,0.01994312221273864,2.677208672401794,2.76646193756626,-0.08925326516446574,0.7652258827290408,0.6602238399682113,0.10500204276082947,0.12,0.11228360286766195,1.0032022794319817,0.12607092475446907,0.12544415070768386
2,T40,3.133970231291176,3.1125917781045804,0.021378453186595703,2.880879497128638,2.9754722435319723,-0.09459274640333426,0.765380658236742,0.660872898217448,0.10450776001929396,0.11,0.17793352788293415,0.8753588010084637,0.1427891901289811,0.12394604370319917
2,T50,3.3290206695113103,3.3047852936726567,0.02423537583865354,3.0838941517726473,3.1689248867824285,-0.0850307350097812,0.7626819321134479,0.6619633017615061,0.10071863035194184,0.11,0.17793352788293415,0.7223770610125467,0.1658628999568026,0.12173322471716808
2,T60,3.5308783506975674,3.501980083794728,0.028898266902839254,3.2672167675757517,3.37956460234873,-0.11234783477297805,0.7622688424554622,0.6612176191376382,0.10105122331782401,0.12,0.11228360286766195,0.7043787093190351,0.1688212809291106,0.12244702847736486
2,T70,3.7639019362206176,3.7231370287537335,0.040764907466884104,3.507187018721063,3.606558803132133,-0.09937178441106997,0.7667205764882359,0.6629610850907119,0.10375949139752394,0.12,0.11228360286766195,0.594502632260934,0.18810935452747862,0.12256325131572193
2,T80,4.061874952622924,4.004620518173784,0.057254434449140135,3.8134768545505358,3.8788092337263977,-0.06533237917586199,0.7691378567294609,0.6621783565765118,0.10695950015294908,0.1,0.2704743832803917,0.3900640036284116,0.2303226029341666,0.12356585022249016
2,T90,4.5656269489826995,4.474778421338632,0.09084852764406737,4.318069387727361,4.354553189202296,-0.03648380147493491,0.7685986616496077,0.6611989830375357,0.107399678612072,0.08,0.5452713464323318,0.3238253010553582,0.25,0.12693416940075378
2,T99,6.669420388945428,6.307418719014813,0.3620016699306152,6.498227884702217,6.233671790650556,0.26455609405166136,0.8764173392175724,0.699892044346384,0.1765252948711884,0.21,0.0002829222008740643,12.278088461576136,0.001,0.3681928328193136
3,T10,2.5535746587452457,2.4382264115221703,0.11534824722307535,2.2801301705885586,2.2863609230070847,-0.006230752418526109,1.0466123606938385,0.7489541018833586,0.2976582588104798,0.065,0.7933622419382523,-0.7071424568868481,0.25,0.132067100766317
3,T20,2.930628655282443,2.829645438865914,0.10098321641652896,2.647505500563577,2.695646695526953,-0.04814119496337588,1.0453058831755986,0.7532539945909184,0.29205188858468023,0.065,0.7933622419382523,-0.5820065967847224,0.25,0.13214118333341962
3,T30,3.1869262666601723,3.0943239523954866,0.09260231426468568,2.906715184795374,2.9469131927018015,-0.04019800790642769,1.04352433624971,0.7541799407329476,0.2893443955167624,0.06,0.8655265369450457,-0.6118007054063255,0.25,0.12933908470642813
3,T40,3.4044477001926907,3.3124457689422995,0.09200193125039124,3.1146770624993128,3.157166556819723,-0.04248949432041016,1.0434374959474884,0.7551384927429716,0.28829900320451674,0.06,0.8655265369450457,-0.5936637829207779,0.25,0.12736245207520702
3,T50,3.6099840602022812,3.515411293672429,0.09457276652985236,3.324995148138137,3.3627524330897627,-0.03775728495162589,1.0433939568380721,0.7563140833104848,0.28707987352758735,0.065,0.7933622419382523,-0.6200943756379009,0.25,0.12636456158139195
3,T60,3.8191210997866176,3.7243677489110865,0.09475335087553116,3.5355266969230823,3.581449739538466,-0.045923042615383824,1.0469729666773862,0.7574725005912902,0.2895004660860959,0.065,0.7933622419382523,-0.6170994446604712,0.25,0.1264889224999463
3,T70,4.061912357668955,3.963262653790906,0.09864970387804917,3.7907231823294407,3.8286660269192305,-0.037942844589789804,1.0476516996532226,0.7585445305089379,0.2891071691442847,0.055,0.9238374197330625,-0.7118144809320776,0.25,0.12445839517756882
3,T80,4.3780626690312,4.266587767007019,0.11147490202418098,4.105225772211343,4.126075668396416,-0.020849896185072936,1.0492891118615253,0.7605466601102296,0.28874245175129565,0.065,0.7933622419382523,-0.6757187894914588,0.25,0.13007634788781536
3,T90,4.9273315221072975,4.773592300491788,0.1537392216155098,4.673996461468556,4.642514945677579,0.031481515790976466,1.053017935630315,0.7560109301671476,0.2970070054631675,0.085,0.46628639073563594,-0.03472253788638395,0.25,0.1602613954335365
3,T99,7.296341545940315,6.933601808944986,0.36273973699532913,7.072450635008889,6.814540861999495,0.257909773009394,1.1249221594897947,0.8202997841170959,0.30462237537269876,0.17,0.006094418258803505,7.336823538378367,0.001,0.36273973699532863
4,T10,2.2718379436184586,2.2603815211451534,0.011456422473305139,2.1300978787579936,2.170429375140431,-0.04033149638243749,0.8676001501947088,0.6577179303741358,0.20988221982057298,0.11,0.17793352788293415,0.3734843878919751,0.23415108766649953,0.10617457086827121
4,T20,2.632054053421497,2.625555968629804,0.006498084791693337,2.480589023203615,2.5257697258243983,-0.04518070262078311,0.8719984627953776,0.6569917521509909,0.2150067106443867,0.105,0.220541217580421,0.30540587768735683,0.25,0.10982249523058253
4,T30,2.8746235180087067,2.8676836569222472,0.006939861086459498,2.707971948631311,2.77048148475475,-0.0625095361234389,0.8699011612943659,0.658257782364377,0.21164337892998886,0.105,0.220541217580421,0.1903803966563618,0.25,0.1082381244063909
4,T40,3.079266836523888,3.0694938685931494,0.009772967930738563,2.9108890413066555,2.974524892700231,-0.0636358513935753,0.8706104223119666,0.6579095440184743,0.21270087829349227,0.1,0.2704743832803917,0.16808193653095221,0.25,0.10887832846564456
4,T50,3.272594348597837,3.2573828615672085,0.015211487030628579,3.098157301464935,3.144958149373489,-0.04680084790855421,0.8698735293922302,0.6593558940487104,0.21051763534351975,0.09,0.39352743357720954,-0.0006639397089032829,0.25,0.10490515986628215
4,T60,3.471529973084838,3.452869156444724,0.018660816640113875,3.2986353180083166,3.3516796876106874,-0.0530443696023708,0.8703742505645017,0.6617916124574983,0.2085826381070034,0.095,0.32811544409418575,-0.12048144350728042,0.25,0.10252272982075031
4,T70,3.700961294391842,3.6716738874107704,0.029287406981071573,3.5260733959803794,3.562723517980257,-0.036650121999877605,0.8710911120195163,0.6626138415446299,0.2084772704748864,0.085,0.46628639073563594,-0.34468598973556636,0.25,0.09694027338824739
4,T80,4.00064046451215,3.955066062462306,0.04557440204984431,3.8181380355657293,3.8426426438019643,-0.024504608236235015,0.875437988707426,0.6666681179817969,0.20876987072562903,0.065,0.7933622419382523,-0.5102026872201735,0.25,0.09554175979912602
4,T90,4.514185693255948,4.425533376188465,0.08865231706748311,4.369388676051891,4.333643194326286,0.035745481725604655,0.8784785026416206,0.66914439451786,0.20933410812376063,0.08,0.5452713464323318,-0.2780486871456981,0.25,0.1054269410660458
4,T99,6.812006032083389,6.468724651469042,0.34328138061434643,6.669762116241207,6.348903949749049,0.32085816649215815,0.976654254265584,0.7976167812208617,0.1790374730447224,0.195,0.0009668691315127085,11.285174982532213,0.001,0.34328138061434604
5,T10,2.4062520612791385,2.575505052021691,-0.16925299074255262,2.232848240338401,2.395823951351609,-0.16297571101320818,0.8462687949013981,1.0229521644148885,-0.1766833695134904,0.155,0.016258459276759563,3.7950414482926678,0.009639011248423347,0.19208585575908071
5,T20,2.781766008047715,2.9645899387104966,-0.18282393066278146,2.6185445871932846,2.7877554074664515,-0.1692108202731668,0.8513861618632744,1.0276364336082402,-0.17625027174496577,0.155,0.016258459276759563,4.225032945751683,0.006652860920007232,0.20359731892859967
5,T30,3.035298977638931,3.224407268123128,-0.18910829048419675,2.8774676938685406,3.0369138455658513,-0.1594461516973107,0.850894090595195,1.0257226349077597,-0.17482854431256467,0.18,0.0030098470801667434,4.59177335722064,0.004875061454130812,0.20884234340751856
5,T40,3.2474419154514726,3.445145100254382,-0.19770318480290916,3.081751939785136,3.267593945644473,-0.18584200585933708,0.8522551431198698,1.025747438707696,-0.17349229558782608,0.175,0.004304993380033157,5.181746266221014,0.002986907583250476,0.21779041984231273
5,T50,3.449216957475916,3.6506749508906027,-0.2014579934146865,3.2847308157290693,3.4687361878197693,-0.1840053720907,0.8520712339855271,1.025598535608741,-0.17352730162321384,0.16,0.011843449760085422,5.35978467934499,0.002582840284398641,0.22113387779698968
5,T60,3.65417444993647,3.8620910882186625,-0.20791663828219242,3.490524314286617,3.699908203983332,-0.2093838896967153,0.8520985244147002,1.0241956905672882,-0.17209716615258797,0.175,0.004304993380033157,5.799968251409742,0.0018120886576125307,0.22630772614480932
